| Kernel Combination                                                         |   Initialization Number |   Training Loss |
| periodic + periodic + periodic * periodic + periodic * SE + SE             |                       1 |         6.17357 |
| periodic + periodic + periodic * periodic + periodic * SE * SE             |                       1 |         7.23159 |
| periodic + periodic + periodic * periodic * periodic + SE + SE             |                       1 |         5.34349 |
| periodic + periodic + periodic * periodic * periodic + SE * SE             |                       1 |         7.04485 |
| periodic + periodic + periodic * periodic * periodic * SE + SE             |                       1 |         7.15173 |
| periodic + periodic + periodic * periodic * periodic * SE * SE             |                       1 |         8.81481 |
| periodic + periodic * periodic + periodic * periodic + SE + SE             |                       1 |         5.33196 |
| periodic + periodic * periodic + periodic * periodic + SE * SE             |                       1 |         7.01428 |
| periodic + periodic * periodic + periodic * periodic * SE + SE             |                       1 |         7.12873 |
| periodic + periodic * periodic + periodic * periodic * SE * SE             |                       1 |         8.78535 |
| periodic + periodic * periodic * periodic + periodic * SE + SE             |                       1 |         7.10521 |
| periodic + periodic * periodic * periodic + periodic * SE * SE             |                       1 |         8.44002 |
| periodic + periodic * periodic * periodic * periodic + SE + SE             |                       1 |         6.96923 |
| periodic + periodic * periodic * periodic * periodic + SE * SE             |                       1 |         8.22627 |
| periodic + periodic * periodic * periodic * periodic * SE + SE             |                       1 |         8.20815 |
| periodic + periodic * periodic * periodic * periodic * SE * SE             |                       1 |        10.7369  |
| periodic * periodic + periodic * periodic + periodic * SE + SE             |                       1 |         6.97578 |
| periodic * periodic + periodic * periodic + periodic * SE * SE             |                       1 |         8.29581 |
| periodic * periodic + periodic * periodic * periodic + SE + SE             |                       1 |         7.23609 |
| periodic * periodic + periodic * periodic * periodic + SE * SE             |                       1 |         8.17306 |
| periodic * periodic + periodic * periodic * periodic * SE + SE             |                       1 |         8.19887 |
| periodic * periodic + periodic * periodic * periodic * SE * SE             |                       1 |        10.7087  |
| periodic * periodic * periodic + periodic * periodic * SE + SE             |                       1 |         8.20453 |
| periodic * periodic * periodic + periodic * periodic * SE * SE             |                       1 |        10.6763  |
| periodic * periodic * periodic * periodic + periodic * SE + SE             |                       1 |         8.20669 |
| periodic * periodic * periodic * periodic + periodic * SE * SE             |                       1 |        10.658   |
| periodic * periodic * periodic * periodic * periodic + SE + SE             |                       1 |         8.32607 |
| periodic * periodic * periodic * periodic * periodic + SE * SE             |                       1 |        10.547   |
| periodic * periodic * periodic * periodic * periodic * SE + SE             |                       1 |        10.5706  |
| periodic * periodic * periodic * periodic * periodic * SE * SE             |                       1 |        17.5097  |
| periodic + periodic + periodic + periodic + RQ + RQ + RQ                   |                       1 |         5.17987 |
| periodic + periodic + periodic + periodic + RQ + RQ * RQ                   |                       1 |         3.08625 |
| periodic + periodic + periodic + periodic + RQ * RQ * RQ                   |                       1 |         3.47016 |
| periodic + periodic + periodic + periodic * RQ + RQ + RQ                   |                       1 |         4.64172 |
| periodic + periodic + periodic + periodic * RQ + RQ * RQ                   |                       1 |         5.10026 |
| periodic + periodic + periodic + periodic * RQ * RQ + RQ                   |                       1 |         4.75882 |
| periodic + periodic + periodic + periodic * RQ * RQ * RQ                   |                       1 |         5.87309 |
| periodic + periodic + periodic * periodic + RQ + RQ + RQ                   |                       1 |         4.71452 |
| periodic + periodic + periodic * periodic + RQ + RQ * RQ                   |                       1 |         5.1373  |
| periodic + periodic + periodic * periodic + RQ * RQ * RQ                   |                       1 |         5.78529 |
| periodic + periodic + periodic * periodic * RQ + RQ + RQ                   |                       1 |         5.05392 |
| periodic + periodic + periodic * periodic * RQ + RQ * RQ                   |                       1 |         5.78047 |
| periodic + periodic + periodic * periodic * RQ * RQ + RQ                   |                       1 |         5.73466 |
| periodic + periodic + periodic * periodic * RQ * RQ * RQ                   |                       1 |         6.93383 |
| periodic + periodic * periodic + periodic * RQ + RQ + RQ                   |                       1 |         5.05192 |
| periodic + periodic * periodic + periodic * RQ + RQ * RQ                   |                       1 |         5.75208 |
| periodic + periodic * periodic + periodic * RQ * RQ + RQ                   |                       1 |         5.71345 |
| periodic + periodic * periodic + periodic * RQ * RQ * RQ                   |                       1 |         6.90538 |
| periodic + periodic * periodic * periodic + RQ + RQ + RQ                   |                       1 |         5.11492 |
| periodic + periodic * periodic * periodic + RQ + RQ * RQ                   |                       1 |         5.7798  |
| periodic + periodic * periodic * periodic + RQ * RQ * RQ                   |                       1 |         6.89388 |
| periodic + periodic * periodic * periodic * RQ + RQ + RQ                   |                       1 |         5.72474 |
| periodic + periodic * periodic * periodic * RQ + RQ * RQ                   |                       1 |         6.91741 |
| periodic + periodic * periodic * periodic * RQ * RQ + RQ                   |                       1 |         6.86439 |
| periodic + periodic * periodic * periodic * RQ * RQ * RQ                   |                       1 |         9.23357 |
| periodic * periodic + periodic * periodic + RQ + RQ + RQ                   |                       1 |         5.1099  |
| periodic * periodic + periodic * periodic + RQ + RQ * RQ                   |                       1 |         5.77067 |
| periodic * periodic + periodic * periodic + RQ * RQ * RQ                   |                       1 |         6.88016 |
| periodic * periodic + periodic * periodic * RQ + RQ + RQ                   |                       1 |         5.71721 |
| periodic * periodic + periodic * periodic * RQ + RQ * RQ                   |                       1 |         6.90592 |
| periodic * periodic + periodic * periodic * RQ * RQ + RQ                   |                       1 |         6.85386 |
| periodic * periodic + periodic * periodic * RQ * RQ * RQ                   |                       1 |         9.21266 |
| periodic * periodic * periodic + periodic * RQ + RQ + RQ                   |                       1 |         5.73605 |
| periodic * periodic * periodic + periodic * RQ + RQ * RQ                   |                       1 |         6.89737 |
| periodic * periodic * periodic + periodic * RQ * RQ + RQ                   |                       1 |         6.84823 |
| periodic * periodic * periodic + periodic * RQ * RQ * RQ                   |                       1 |         9.20316 |
| periodic * periodic * periodic * periodic + RQ + RQ + RQ                   |                       1 |         5.77443 |
| periodic * periodic * periodic * periodic + RQ + RQ * RQ                   |                       1 |         6.9126  |
